epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,prec_class_5,prec_class_6,prec_class_7,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,rec_class_5,rec_class_6,rec_class_7,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4,auc_class_5,auc_class_6,auc_class_7
1,1.0102889820694285,0.8266016679389454,0.7026869158878505,0.9541560678904488,0.6789925930501142,0.6979133051577382,0.6666303849174327,0.401673640167364,0.8404255319148937,0.75,0.5173611111111112,0.5851063829787234,0.46774193548387094,0.9917695473251029,0.8778625954198473,0.7868852459016393,0.7596153846153846,0.7161290322580646,0.5137931034482759,0.9016393442622951,0.20279720279720279,0.7237237237237237,0.9787234042553191,0.5318559556786704,0.797979797979798,0.7326732673267327,0.5155709342560554,0.7096774193548387,0.28292682926829266,0.8368055555555556,0.9255533199195171,0.9557634807712135,0.9519391025641026,0.9573041622640728,0.8658955332460352,0.9846221259923704,0.9255059790432639,0.9945950301280251,0.9976231291145076
2,0.7158591006210143,1.0075785584538897,0.677570093457944,0.9434438398808351,0.7347398900064871,0.6348398623603388,0.6352705925744779,0.8023255813953488,0.9572192513368984,0.7177914110429447,0.5431654676258992,0.9139784946236559,0.5,0.502262443438914,0.9411764705882353,0.5655737704918032,0.5737179487179487,0.7548387096774194,0.5206896551724138,0.6967213114754098,0.013986013986013986,1.0,0.9531914893617022,0.6634615384615384,0.717434869739479,0.7358490566037735,0.5316901408450704,0.7906976744186046,0.027210884353741496,0.6686746987951807,0.9471458773784355,0.9210691823899372,0.9663232600732601,0.9593386786002859,0.8459867112857075,0.9752603361171255,0.8992186908056888,0.9838917960745371,0.9964620637001398
3,0.6428970261850459,0.8772238236721431,0.6629672897196262,0.9626173414229855,0.7639208950660841,0.6414677919003056,0.6124552134098402,1.0,0.9949238578680203,0.6782178217821783,0.41222879684418146,0.5594059405940595,0.8,0.984375,0.6822157434402333,0.07377049180327869,0.6282051282051282,0.8838709677419355,0.7206896551724138,0.9262295081967213,0.3356643356643357,0.5675675675675675,0.9957446808510638,0.13740458015267176,0.7701375245579568,0.7675070028011205,0.5244667503136763,0.6975308641975309,0.4729064039408867,0.72,0.8096885813148789,0.9558047221363027,0.9924175824175825,0.9788095386081588,0.8441510257529463,0.9781369213320962,0.9597044128592885,0.9925915763479216,0.999322951929587
4,0.600561147884411,0.6509388217302127,0.7605140186915887,0.9775065873437108,0.8060021189263258,0.7489539843140196,0.7399433079510125,0.9550561797752809,0.9723502304147466,0.7076923076923077,0.5368171021377672,0.6932515337423313,0.8780487804878049,0.9775280898876404,0.7272727272727273,0.6967213114754098,0.6762820512820513,0.8903225806451613,0.7793103448275862,0.9262295081967213,0.2517482517482518,0.7837837837837838,0.9872340425531915,0.8056872037914692,0.7977315689981096,0.7885714285714286,0.6357243319268636,0.7929824561403509,0.391304347826087,0.87,0.8375451263537906,0.9920713475616042,0.987809065934066,0.9811714007499948,0.9119719676026964,0.991818744200433,0.9674060802167876,0.9913045750609202,0.9964995174231839
5,0.5744025408225583,0.9086224225079902,0.6606308411214953,0.964025411450546,0.7339376704174427,0.5933768498922289,0.5839073280387097,0.8091603053435115,0.9908675799086758,0.7377049180327869,0.6680161943319838,0.6031746031746031,0.8181818181818182,0.8610354223433242,0.3833605220228385,0.8688524590163934,0.6955128205128205,0.2903225806451613,0.5689655172413793,0.3114754098360656,0.06293706293706294,0.948948948948949,1.0,0.8379446640316206,0.8173258003766478,0.4166666666666667,0.6145251396648045,0.41081081081081083,0.11688311688311688,0.9028571428571428,0.5542452830188679,0.9923342612640479,0.9860691391941392,0.9162574844096381,0.911809496095834,0.9675430456748119,0.9488249163201361,0.9894513803143244,0.9999135683314366
6,0.5509253580840354,0.5804032098467105,0.7967289719626168,0.9840491570915255,0.841767992856261,0.7007686623172954,0.7035960791705992,1.0,0.9283387622149837,0.631578947368421,0.602803738317757,0.8387096774193549,0.9111111111111111,0.8586387434554974,0.9629629629629629,0.39344262295081966,0.9134615384615384,0.9290322580645162,0.8896551724137931,0.21311475409836064,0.2867132867132867,0.984984984984985,0.9957446808510638,0.5647058823529412,0.9208400646203554,0.7519582245430809,0.7186629526462396,0.33986928104575165,0.43617021276595747,0.9174825174825175,0.9790794979079498,0.9754356119187544,0.9942559523809523,0.988323285060186,0.9584921674184004,0.9838643159088566,0.9761283967784924,0.9959713157682701,0.999922211498293
7,0.5163154625358747,0.5345591461268541,0.8189252336448598,0.9832757040856203,0.8525824839648304,0.7788272714607027,0.7948642401108638,0.9857142857142858,0.7203791469194313,0.9733333333333334,0.7189542483660131,0.8666666666666667,0.7191780821917808,0.9333333333333333,0.9031007751937985,0.5655737704918032,0.9743589743589743,0.47096774193548385,0.7586206896551724,0.8524590163934426,0.7342657342657343,0.8828828828828829,0.9914893617021276,0.71875,0.8283378746594006,0.6347826086956522,0.738255033557047,0.859504132231405,0.726643598615917,0.9074074074074074,0.9452332657200812,0.989870089699969,0.9891369047619047,0.9844282843350529,0.9393617537222949,0.9936075884111765,0.9795112471976716,0.9905663458962951,0.9997234186605972
8,0.4871100700799037,0.7034851436581567,0.768107476635514,0.9805024618392795,0.7731884584619058,0.7772566571859063,0.7331659661295195,0.8240740740740741,0.7073732718894009,0.6904761904761905,0.9354838709677419,0.58,0.6259541984732825,0.9728813559322034,0.8492647058823529,0.7295081967213115,0.9839743589743589,0.9354838709677419,0.2,0.9508196721311475,0.5734265734265734,0.8618618618618619,0.9829787234042553,0.7739130434782608,0.8230563002680965,0.7945205479452054,0.32954545454545453,0.7204968944099379,0.5985401459854015,0.9140127388535032,0.9112426035502958,0.9831889885555212,0.990334249084249,0.9889365404935049,0.9478587710364227,0.9913805546963604,0.9500728716789902,0.9942270043792887,0.998020714789899
9,0.4840424298383495,0.28736461692045784,0.9001168224299065,0.9934133174365869,0.9068393221253097,0.8855603757227097,0.8904833631345259,0.9491525423728814,0.8862973760932945,0.8192090395480226,0.8274647887323944,0.9396551724137931,0.9565217391304348,0.9662576687116564,0.91015625,0.9180327868852459,0.9743589743589743,0.9354838709677419,0.8103448275862069,0.8934426229508197,0.6153846153846154,0.9459459459459459,0.9914893617021276,0.9333333333333333,0.9282442748091603,0.8734939759036144,0.818815331010453,0.9159663865546218,0.7489361702127659,0.9559939301972686,0.9490835030549898,0.9962367254356119,0.9975,0.9946588766652164,0.973291624230079,0.9976543973605526,0.9905155392727095,0.9979333938724803,0.9995159826560451
10,0.45970371047801833,0.6473069594145935,0.8066588785046729,0.9858874907627432,0.8593327844579233,0.8042822965842316,0.7952544696179651,0.5654205607476636,0.6588486140724946,0.9396551724137931,0.9702970297029703,0.9405940594059405,0.9523809523809523,0.8518518518518519,0.9956140350877193,0.9918032786885246,0.9903846153846154,0.7032258064516129,0.33793103448275863,0.7786885245901639,0.6993006993006993,0.9669669669669669,0.9659574468085106,0.7202380952380952,0.7912932138284251,0.8044280442804428,0.5012787723785166,0.852017937219731,0.8064516129032258,0.9057665260196905,0.980561555075594,0.99387050211362,0.9952335164835164,0.9891230032941762,0.940564527862651,0.9924579853593154,0.9847348317711606,0.9923803426341498,0.9987352165833561
