epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,prec_class_5,prec_class_6,prec_class_7,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,rec_class_5,rec_class_6,rec_class_7,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,f1_class_7,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4,auc_class_5,auc_class_6,auc_class_7
1,1.0013738867433313,0.659084282188772,0.7844626168224299,0.9699595887082634,0.6842011906337412,0.7409836467078741,0.7090212118886388,0.6470588235294118,0.9381107491856677,0.8529411764705882,0.5448717948717948,0.7133757961783439,0.0,0.7772511848341233,1.0,0.6311475409836066,0.9230769230769231,0.9354838709677419,0.5862068965517241,0.9180327868852459,0.0,0.984984984984985,0.948936170212766,0.6390041493775933,0.9305331179321487,0.8923076923076924,0.5647840531561462,0.8028673835125448,0.0,0.8688741721854305,0.9737991266375546,0.9625425301577483,0.991110347985348,0.9863592102264488,0.8845724816916437,0.9903237447159501,0.9538568506063726,0.992450027983023,0.9984615162995721
2,0.7191659194183222,0.9000994646660635,0.7050233644859814,0.9638439568571264,0.7694281293438221,0.6878916274685947,0.6764881398553574,0.6527777777777778,0.8612099644128114,0.9084507042253521,0.5037037037037037,0.8771929824561403,0.8421052631578947,0.5099846390168971,1.0,0.7704918032786885,0.7756410256410257,0.832258064516129,0.23448275862068965,0.819672131147541,0.11188811188811189,0.996996996996997,0.9617021276595744,0.706766917293233,0.8161888701517707,0.8686868686868687,0.32,0.847457627118644,0.19753086419753085,0.6747967479674797,0.9804772234273319,0.9656304773688009,0.9752999084249085,0.9680319887293596,0.880450070323488,0.9835756263532323,0.9497430549055788,0.9881905110331506,0.999830017718492
3,0.6429234643113166,0.7749409558617066,0.7137850467289719,0.9693519474120166,0.7725329327727092,0.7082807827120131,0.7019918049996414,0.49065420560747663,0.5571687840290381,0.9886363636363636,0.7647058823529411,0.8559322033898306,0.7857142857142857,0.833976833976834,0.9034749034749034,0.860655737704918,0.9839743589743589,0.5612903225806452,0.40344827586206894,0.8278688524590164,0.38461538461538464,0.6486486486486487,0.9957446808510638,0.625,0.7114716106604867,0.7160493827160493,0.5282167042889391,0.8416666666666667,0.5164319248826291,0.7297297297297297,0.9473684210526315,0.9766058356531602,0.99003663003663,0.9705057285515986,0.9005771375915419,0.9906175894422106,0.9537989098218544,0.9730252369846278,0.9996485112145089
4,0.5925342357931609,0.6763397661324974,0.7780373831775701,0.975965454682774,0.8010116189970182,0.7563989687392749,0.735677894669677,1.0,0.9904761904761905,0.6333333333333333,0.6577181208053692,0.5021459227467812,0.8152173913043478,0.9298245614035088,0.8793774319066148,0.32786885245901637,0.6666666666666666,0.9806451612903225,0.6758620689655173,0.9590163934426229,0.5244755244755245,0.954954954954955,0.9617021276595744,0.49382716049382713,0.7969348659003831,0.769620253164557,0.6666666666666666,0.6591549295774648,0.6382978723404256,0.9422222222222222,0.9186991869918699,0.97590988761728,0.9939835164835165,0.9911740941015601,0.9066298074591397,0.9828435921228993,0.9692067015202771,0.9957404830501277,0.9922355551073914
5,0.5719918023177328,0.793940492113617,0.7272196261682243,0.9791887691333747,0.7233927560510454,0.6482519975812842,0.6041447614480299,0.9207920792079208,0.92,0.5313653136531366,0.6280487804878049,0.75,0.5,0.7006369426751592,0.8362989323843416,0.7622950819672131,0.7371794871794872,0.9290322580645162,0.7103448275862069,0.04918032786885246,0.006993006993006993,0.990990990990991,1.0,0.8340807174887892,0.8185053380782918,0.676056338028169,0.6666666666666666,0.09230769230769231,0.013793103448275862,0.8208955223880597,0.9108527131782945,0.991329002989999,0.9850618131868132,0.9811299645720679,0.9274164605460983,0.9865965563460151,0.9667642746036627,0.995217842933579,0.9999942378887624
6,0.5218498363473358,0.45950109629987557,0.8364485981308412,0.9852750720239214,0.8499766139887455,0.8220050754542036,0.8244927449717154,0.8348623853211009,0.7713567839195979,0.9829059829059829,0.8121827411167513,0.9595959595959596,0.5922330097087378,0.9361702127659575,0.9105058365758755,0.7459016393442623,0.9839743589743589,0.7419354838709677,0.5517241379310345,0.7786885245901639,0.8531468531468531,0.924924924924925,0.9957446808510638,0.7878787878787878,0.8647887323943662,0.8455882352941176,0.6570841889117043,0.8597285067873304,0.6991404011461319,0.9305135951661632,0.9512195121951219,0.9789978348283328,0.9958333333333333,0.9950525203555224,0.9440006789854019,0.9955356222290956,0.9800416282251847,0.993392957859963,0.9993460003745372
7,0.5030078126446289,0.6199260067159884,0.7692757009345794,0.9856793480126912,0.8399235241260319,0.6730036338367659,0.6478213984982828,0.8305084745762712,0.9457627118644067,0.7727272727272727,0.4828897338403042,0.8333333333333334,1.0,0.875,0.9791666666666666,0.8032786885245902,0.8942307692307693,0.7677419354838709,0.8758620689655172,0.040983606557377046,0.03496503496503497,0.9669669669669669,1.0,0.8166666666666667,0.9192751235584844,0.7702265372168284,0.6225490196078431,0.078125,0.06756756756756757,0.9186875891583453,0.9894736842105263,0.9916228477162594,0.9936607142857143,0.9850622578573351,0.9433362432707697,0.9951489844313847,0.9811202182139085,0.9954835183261579,1.0
8,0.469582613109347,0.4053287286067677,0.8557242990654206,0.9900840583698156,0.8718680670368518,0.84796068763495,0.8503489361750771,0.9782608695652174,0.8402203856749312,0.6529680365296804,0.8226415094339623,0.9067796610169492,0.9454545454545454,0.9740740740740741,0.8545454545454545,0.7377049180327869,0.9775641025641025,0.9225806451612903,0.7517241379310344,0.8770491803278688,0.7272727272727273,0.7897897897897898,1.0,0.8411214953271028,0.9037037037037037,0.7647058823529411,0.7855855855855856,0.8916666666666667,0.8221343873517787,0.8723051409618574,0.9215686274509803,0.9957572945664501,0.9946405677655678,0.9829863053431951,0.9646612347834521,0.9971852768326632,0.9901589805987512,0.9953289039583455,0.9999539031100995
9,0.44212060880892096,0.28442526413737057,0.907126168224299,0.9945161190457732,0.9019587848974806,0.9072880946258584,0.9000170502919085,0.8345864661654135,0.8614958448753463,0.9178082191780822,0.9246861924686193,0.782051282051282,0.9669421487603306,0.9805194805194806,0.9475806451612904,0.9098360655737705,0.9967948717948718,0.864516129032258,0.7620689655172413,1.0,0.8181818181818182,0.9069069069069069,1.0,0.8705882352941177,0.924219910846954,0.8903654485049833,0.8355387523629489,0.8776978417266187,0.8863636363636364,0.9422776911076443,0.9730848861283644,0.9954273636457367,0.999375,0.9969958771002962,0.9735898928173045,0.9986854314877822,0.9940588410951701,0.9979965462198965,1.0
10,0.4232764772791913,0.41086711671864873,0.8557242990654206,0.990149691855277,0.8663084375557478,0.853974720719186,0.843372396009578,0.7402597402597403,0.925,0.5891472868217055,0.9175257731958762,0.9611650485436893,0.9893617021276596,0.9118541033434651,0.8961538461538462,0.9344262295081968,0.9487179487179487,0.9806451612903225,0.6137931034482759,0.8114754098360656,0.6503496503496503,0.9009009009009009,0.9914893617021276,0.8260869565217391,0.9367088607594937,0.7360774818401937,0.7355371900826446,0.88,0.7848101265822784,0.9063444108761329,0.9414141414141414,0.9912155892360037,0.9950778388278388,0.9948494830836804,0.954842620883651,0.9982163109598928,0.9929445952390503,0.9942988673953141,0.9997522292167851
