epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,prec_class_5,prec_class_6,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,rec_class_5,rec_class_6,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4,auc_class_5,auc_class_6
1,1.0590987515776125,1.2056510940430656,0.6221335992023929,0.7856930523730465,0.2642109083822629,0.304630615286353,0.2646341810320305,0.3125,0.4642857142857143,0.24067796610169492,0.0,0.8320126782884311,0.0,0.0,0.45454545454545453,0.25,0.6454545454545455,0.0,0.7824143070044709,0.0,0.0,0.37037037037037035,0.325,0.3506172839506173,0.0,0.8064516129032258,0.0,0.0,0.9263355201499531,0.8293294507805549,0.7575587905935051,0.8869828456104945,0.7778176790620006,0.6353472306387103,0.6864798497761087
2,0.9813352534760079,0.9772621941944909,0.6979062811565304,0.8157041300888758,0.43599141609125425,0.2869122533056959,0.2664001282386419,0.75,0.26605504587155965,0.3504273504273504,0.0,0.8104575163398693,0.875,0.0,0.09090909090909091,0.5576923076923077,0.37272727272727274,0.0,0.9239940387481371,0.06306306306306306,0.0,0.16216216216216217,0.36024844720496896,0.36123348017621143,0.0,0.8635097493036211,0.11764705882352941,0.0,0.9312714776632303,0.8828561028876486,0.7986562150055991,0.9296165489404642,0.8470678541288851,0.7360319961216821,0.5844287158746209
3,0.9645858984015304,0.9344853673662458,0.6829511465603191,0.8013736737334792,0.3639490285535526,0.17704281392805982,0.17595158422641224,0.5,0.3333333333333333,0.29545454545454547,0.0,0.7045696068012752,0.7142857142857143,0.0,0.030303030303030304,0.057692307692307696,0.11818181818181818,0.0,0.9880774962742176,0.04504504504504504,0.0,0.05714285714285714,0.09836065573770492,0.16883116883116883,0.0,0.8225806451612904,0.0847457627118644,0.0,0.9203998750390503,0.8471042627194045,0.7864654382571516,0.7556340396905483,0.8282279640170219,0.7625540338544824,0.709230102556695
4,0.9474605692031721,0.8806296870821998,0.6979062811565304,0.8424058938554605,0.44359709305280276,0.22365361709624004,0.23359472059935263,0.36,0.5333333333333333,0.5,0.0,0.7118463180362861,1.0,0.0,0.2727272727272727,0.15384615384615385,0.09090909090909091,0.0,0.9940387481371088,0.05405405405405406,0.0,0.3103448275862069,0.23880597014925373,0.15384615384615385,0.0,0.8296019900497512,0.10256410256410256,0.0,0.9222742892845985,0.8838267410822617,0.8115341545352743,0.8834510595358224,0.8609116046899968,0.7741182886922796,0.7607251191679907
5,0.9336326620350145,0.8728370855725001,0.6999002991026919,0.8489217505685878,0.31444209539580914,0.22828809058317254,0.22570954208148183,0.0,0.3333333333333333,0.32673267326732675,0.0,0.7632508833922261,0.7777777777777778,0.0,0.0,0.2692307692307692,0.3,0.0,0.9657228017883756,0.06306306306306306,0.0,0.0,0.2978723404255319,0.3127962085308057,0.0,0.8526315789473684,0.11666666666666667,0.0,0.9331458919087785,0.8906212084445524,0.8041433370660696,0.9163303060881265,0.8662219668540032,0.7916313174160707,0.7403582262025133
6,0.9280841591423505,0.882390404504443,0.6869391824526421,0.846107836918524,0.18631080419498636,0.19447437808093546,0.1831366134089567,0.0,0.2608695652173913,0.3137254901960784,0.0,0.7295805739514348,0.0,0.0,0.0,0.23076923076923078,0.14545454545454545,0.0,0.9850968703427719,0.0,0.0,0.0,0.24489795918367346,0.19875776397515527,0.0,0.8383005707038681,0.0,0.0,0.9377382068103718,0.8848782657930923,0.8163799246665988,0.9009418096199127,0.8648528540391072,0.7827334060517916,0.7352303914487939
7,0.9224766480596098,0.9015200478690011,0.6919242273180458,0.8412995670866434,0.3871081478877881,0.1970972389005176,0.19765985011560236,0.25,0.39285714285714285,0.35,0.0,0.7168998923573735,1.0,0.0,0.030303030303030304,0.21153846153846154,0.12727272727272726,0.0,0.992548435171386,0.018018018018018018,0.0,0.05405405405405406,0.275,0.18666666666666668,0.0,0.8325,0.035398230088495575,0.0,0.9234614183067791,0.8813192590795115,0.8046930672910516,0.8831146989572822,0.8537203957409368,0.7765018381610309,0.7662862920699118
8,0.9211685287353655,0.9283608860439725,0.6959122632103689,0.8342074387659028,0.4194902660373615,0.24477200542774313,0.23480707558722438,0.5,0.32432432432432434,0.36065573770491804,0.0,0.7514518002322881,1.0,0.0,0.06060606060606061,0.46153846153846156,0.2,0.0,0.9642324888226528,0.02702702702702703,0.0,0.10810810810810811,0.38095238095238093,0.2573099415204678,0.0,0.8446475195822454,0.05263157894736842,0.0,0.9243986254295533,0.8674876648062767,0.8194543418507584,0.8373696602758157,0.8530605282531021,0.793711873308286,0.7439693774375271
9,0.9076135030620174,0.8730324563525972,0.6919242273180458,0.8492093293348723,0.3304688442266154,0.18765456962178276,0.17928295382385442,0.25,0.0,0.3372093023255814,0.0,0.7260726072607261,1.0,0.0,0.030303030303030304,0.0,0.2636363636363636,0.0,0.9836065573770492,0.036036036036036036,0.0,0.05405405405405406,0.0,0.29591836734693877,0.0,0.8354430379746836,0.06956521739130435,0.0,0.921243361449547,0.8943015449324597,0.8116461366181411,0.9098553649512278,0.8689826369561704,0.7864501272573021,0.7519861331792577
10,0.9128106667843039,0.8818994400993226,0.6889332003988036,0.8292642053753502,0.3861085835608128,0.1945302297761314,0.20068163514257562,0.5,0.3333333333333333,0.5,0.0,0.70276008492569,0.6666666666666666,0.0,0.030303030303030304,0.17307692307692307,0.06363636363636363,0.0,0.9865871833084948,0.10810810810810811,0.0,0.05714285714285714,0.22784810126582278,0.11290322580645161,0.0,0.8208307501549907,0.18604651162790697,0.0,0.9241487035301468,0.8954743994176171,0.8091927109844244,0.7758156744029601,0.8715906846461854,0.7963580172100351,0.7322692474360826
11,0.8968262842528896,0.9481090780288454,0.6809571286141576,0.8097715019122896,0.2922543726115155,0.1816389119667808,0.1833418353032345,0.14285714285714285,0.22727272727272727,0.4090909090909091,0.0,0.7040598290598291,0.5625,0.0,0.030303030303030304,0.09615384615384616,0.08181818181818182,0.0,0.9821162444113264,0.08108108108108109,0.0,0.05,0.13513513513513514,0.13636363636363635,0.0,0.8201617921593031,0.14173228346456693,0.0,0.9061230865354577,0.8327671277198091,0.8052122569479793,0.7779179280188362,0.8431490492521502,0.7769563285258353,0.7262747363859599
12,0.8781821290924124,0.8476627970498706,0.7008973080757727,0.8506157990373273,0.39061350650096455,0.22183104888022923,0.23237239124695894,0.36363636363636365,0.4375,0.3974358974358974,0.0,0.7357222844344905,0.8,0.0,0.12121212121212122,0.1346153846153846,0.2818181818181818,0.0,0.9791356184798807,0.036036036036036036,0.0,0.18181818181818182,0.20588235294117646,0.32978723404255317,0.0,0.840153452685422,0.06896551724137931,0.0,0.9256482349265855,0.9004893634231175,0.8296650717703349,0.8695761856710393,0.8782701596250875,0.7908031349735385,0.7598584428715874
13,0.8660067477727045,0.8393598170507521,0.7168494516450648,0.8509958453871648,0.347093524909964,0.3184595496070906,0.31297686514713885,0.29411764705882354,0.2857142857142857,0.4117647058823529,0.0,0.8190104166666666,0.6190476190476191,0.0,0.30303030303030304,0.5,0.2545454545454545,0.0,0.9374068554396423,0.23423423423423423,0.0,0.29850746268656714,0.36363636363636365,0.3146067415730337,0.0,0.8742182070882557,0.33986928104575165,0.0,0.9325210871602625,0.9021070937474722,0.8344803013336048,0.8737806929027918,0.8832483435979388,0.8036197632610189,0.7272136357070633
14,0.866777648936668,0.8405553083571177,0.7088733798604188,0.8536158787383031,0.3143611490550266,0.2359491564409597,0.23751828914857578,0.0,0.30612244897959184,0.4,0.0,0.7610722610722611,0.7333333333333333,0.0,0.0,0.28846153846153844,0.2909090909090909,0.0,0.9731743666169895,0.0990990990990991,0.0,0.0,0.297029702970297,0.3368421052631579,0.0,0.854153041203401,0.1746031746031746,0.0,0.9294283036551078,0.8939982204966431,0.8294818283620076,0.8916078035654221,0.8768067800262151,0.8035187654021736,0.7504694496605518
15,0.8663686573777569,0.8852310559106251,0.7038883349950149,0.83748229720997,0.36020406507575137,0.32486433961843797,0.31400905717622524,0.4411764705882353,0.3287671232876712,0.3333333333333333,0.0,0.8070404172099087,0.6111111111111112,0.0,0.45454545454545453,0.46153846153846156,0.33636363636363636,0.0,0.9225037257824144,0.0990990990990991,0.0,0.44776119402985076,0.384,0.334841628959276,0.0,0.8609179415855355,0.17054263565891473,0.0,0.9289597000937208,0.8817641349187091,0.8232006515321185,0.8210561722166162,0.8696918822832314,0.8122954793358381,0.7254080600895565
16,0.8633566581767443,0.8478539973970444,0.7018943170488534,0.8485280939634,0.3494880733663039,0.2229522065587639,0.23501948451583088,0.3,0.34285714285714286,0.45454545454545453,0.0,0.7336293007769146,0.6153846153846154,0.0,0.09090909090909091,0.23076923076923078,0.18181818181818182,0.0,0.9850968703427719,0.07207207207207207,0.0,0.13953488372093023,0.27586206896551724,0.2597402597402597,0.0,0.8409669211195929,0.12903225806451613,0.0,0.9298344267416432,0.9022486451508533,0.8338287692151074,0.8900100908173562,0.8750291778140878,0.7824708116187935,0.7262747363859597
