epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,prec_class_5,prec_class_6,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,rec_class_5,rec_class_6,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4,auc_class_5,auc_class_6
1,1.0380124030592235,1.01253176492358,0.6779661016949152,0.7901449604389442,0.19854825841165735,0.24613255596862155,0.219488546581202,0.0,0.2972972972972973,0.32061068702290074,0.0,0.7719298245614035,0.0,0.0,0.0,0.4230769230769231,0.38181818181818183,0.0,0.9180327868852459,0.0,0.0,0.0,0.3492063492063492,0.34854771784232363,0.0,0.8386657590197413,0.0,0.0,0.898719150265542,0.8614211760899458,0.7809019647765448,0.8368651194080053,0.7863914675093818,0.7316587888336769,0.6350570561895132
2,0.9657576667935881,0.9091612043834868,0.7018943170488534,0.8077641434471429,0.32902384657442063,0.23657081361999394,0.2516762548846378,0.3333333333333333,0.3333333333333333,0.41025641025641024,0.0,0.7423728813559322,0.4838709677419355,0.0,0.24242424242424243,0.15384615384615385,0.14545454545454545,0.0,0.9791356184798807,0.13513513513513514,0.0,0.2807017543859649,0.21052631578947367,0.21476510067114093,0.0,0.8444730077120822,0.2112676056338028,0.0,0.8916588566073103,0.8598641106527541,0.8107706403339101,0.8966532122435249,0.8289820982888334,0.7492021169151214,0.6172179690885454
3,0.938465724116591,0.9697282617054288,0.7058823529411765,0.8337205899318788,0.32850260248634233,0.34403079567014,0.31642397970534747,0.2716049382716049,0.28846153846153844,0.46153846153846156,0.0,0.8279132791327913,0.45,0.0,0.6666666666666666,0.28846153846153844,0.21818181818181817,0.0,0.910581222056632,0.32432432432432434,0.0,0.38596491228070173,0.28846153846153844,0.2962962962962963,0.0,0.8672817601135557,0.3769633507853403,0.0,0.9333020930959075,0.8894079107012861,0.808327394889545,0.9442482341069627,0.8569613775519366,0.7541510119985457,0.6496461071789686
4,0.9297216917009659,0.8545533513265943,0.707876370887338,0.8377225558715512,0.41908169002284495,0.26837743559055033,0.2699565275925355,0.47058823529411764,0.28169014084507044,0.4126984126984127,0.0,0.768595041322314,1.0,0.0,0.24242424242424243,0.38461538461538464,0.23636363636363636,0.0,0.970193740685544,0.04504504504504504,0.0,0.32,0.3252032520325203,0.30057803468208094,0.0,0.857707509881423,0.08620689655172414,0.0,0.9329272102467978,0.9051403381056378,0.8138246971393668,0.8524217961654894,0.8742121990196254,0.8015796065123421,0.683952043911599
5,0.9126058748867958,0.8850244416130914,0.6939182452642074,0.8257843027931221,0.3239872906374907,0.2608386887075412,0.2679860607394915,0.4444444444444444,0.35294117647058826,0.2962962962962963,0.0,0.7637028014616322,0.4105263157894737,0.0,0.12121212121212122,0.34615384615384615,0.07272727272727272,0.0,0.9344262295081968,0.35135135135135137,0.0,0.19047619047619047,0.34951456310679613,0.11678832116788321,0.0,0.8404825737265416,0.3786407766990291,0.0,0.9288347391440175,0.8886597104262719,0.8066985645933015,0.8861419441641439,0.8455012299570862,0.7960247242758454,0.6286292069911887
6,0.9022277743304701,0.885174206324986,0.7108673978065803,0.8366892629420436,0.38156296987302113,0.28495092265584065,0.2711935836056663,0.5,0.3125,0.34782608695652173,0.0,0.8022813688212928,0.7083333333333334,0.0,0.030303030303030304,0.5769230769230769,0.2909090909090909,0.0,0.9433681073025335,0.15315315315315314,0.0,0.05714285714285714,0.40540540540540543,0.31683168316831684,0.0,0.8671232876712329,0.2518518518518518,0.0,0.9283973758200562,0.8934724581412279,0.8126437951745902,0.9079212916246217,0.8693058373583754,0.8179715590029493,0.627112523472483
7,0.8971136473629573,0.836197641160753,0.7108673978065803,0.8363023943915512,0.37345178035154436,0.2810061965799671,0.2910589875992705,0.375,0.3695652173913043,0.3829787234042553,0.0,0.7593457943925234,0.7272727272727273,0.0,0.36363636363636365,0.3269230769230769,0.16363636363636364,0.0,0.9687034277198212,0.14414414414414414,0.0,0.36923076923076925,0.3469387755102041,0.22929936305732485,0.0,0.8513425016371972,0.24060150375939848,0.0,0.9414245548266167,0.9041494782819703,0.8237605619464522,0.8692398250924991,0.8702215718312895,0.7964691148547651,0.6488516539072656
8,0.8900010965458335,0.9184535798572359,0.6839481555333998,0.8230518698156006,0.32645011266144536,0.32935483509254,0.3043974564041614,0.3181818181818182,0.24475524475524477,0.46938775510204084,0.0,0.835243553008596,0.4175824175824176,0.0,0.21212121212121213,0.6730769230769231,0.20909090909090908,0.0,0.8688524590163934,0.34234234234234234,0.0,0.2545454545454545,0.358974358974359,0.2893081761006289,0.0,0.8517165814463111,0.37623762376237624,0.0,0.9332708528584818,0.8732103858286823,0.8170518171637992,0.8735284224688866,0.8729777530389816,0.8105785157354664,0.5807453416149069
9,0.8900949371187654,0.8696728812323676,0.7178464606181456,0.8352975738329603,0.3566504838477201,0.3174043206830092,0.3233063587992346,0.3157894736842105,0.46511627906976744,0.34782608695652173,0.0,0.8372093023255814,0.5306122448979592,0.0,0.18181818181818182,0.38461538461538464,0.509090909090909,0.0,0.9120715350223547,0.23423423423423423,0.0,0.23076923076923078,0.42105263157894735,0.4132841328413284,0.0,0.8730385164051355,0.325,0.0,0.9270540456107467,0.9038259322170994,0.8229054260409244,0.8936259670366633,0.8769010468101914,0.8149416232375873,0.6078289758775097
10,0.8860834768918007,0.8287259586273678,0.7258225324027916,0.8516337028189973,0.38419661946314715,0.3044164519574356,0.32119003202609475,0.4375,0.4,0.3804347826086957,0.0,0.7957658779576587,0.6756756756756757,0.0,0.21212121212121213,0.4230769230769231,0.3181818181818182,0.0,0.9523099850968704,0.22522522522522523,0.0,0.2857142857142857,0.411214953271028,0.3465346534653465,0.0,0.8670284938941656,0.33783783783783783,0.0,0.9328647297719462,0.9148871633098763,0.8307848925990025,0.9153212243525058,0.8805594958073727,0.8063164060921909,0.6807020078000867
