epoch,train_loss,val_loss,val_acc,val_auc_macro,val_prec_macro,val_rec_macro,val_f1_macro,prec_class_0,prec_class_1,prec_class_2,prec_class_3,prec_class_4,rec_class_0,rec_class_1,rec_class_2,rec_class_3,rec_class_4,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,auc_class_0,auc_class_1,auc_class_2,auc_class_3,auc_class_4
1,1.452131046968348,1.452657699584961,0.45,0.6870873780850897,0.22063492063492066,0.285978835978836,0.2181746031746032,0.8055555555555556,0.0,0.2976190476190476,0.0,0.0,0.5370370370370371,0.0,0.8928571428571429,0.0,0.0,0.6444444444444445,0.0,0.44642857142857145,0.0,0.0,0.7805836139169473,0.632716049382716,0.6300465838509317,0.7225,0.6695906432748537
2,1.3999627618228687,1.3744945526123047,0.45,0.6655858156590423,0.09,0.2,0.12413793103448276,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.0,0.0,0.0,0.7704826038159371,0.6373456790123456,0.6242236024844721,0.6950000000000001,0.6008771929824561
3,1.3872556125416475,1.4704742431640625,0.44166666666666665,0.6636063200381278,0.21882352941176472,0.2822751322751323,0.21433827185045243,0.8,0.0,0.29411764705882354,0.0,0.0,0.5185185185185185,0.0,0.8928571428571429,0.0,0.0,0.6292134831460674,0.0,0.4424778761061947,0.0,0.0,0.776374859708193,0.6419753086419754,0.6611024844720497,0.607,0.631578947368421
4,1.3793014077579273,1.4476127624511719,0.44166666666666665,0.6538511947413549,0.19976683182745555,0.30333333333333334,0.215692536995635,0.7659574468085106,0.0,0.0,0.2328767123287671,0.0,0.6666666666666666,0.0,0.0,0.85,0.0,0.7128712871287128,0.0,0.0,0.3655913978494624,0.0,0.781986531986532,0.6388888888888888,0.608307453416149,0.6275,0.6125730994152047
5,1.370998550863827,1.4042778015136719,0.45,0.6475971796347846,0.09,0.2,0.12413793103448276,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.0,0.0,0.0,0.7856341189674523,0.6018518518518519,0.638198757763975,0.6085,0.6038011695906433
6,1.3644880406996782,1.3647937774658203,0.475,0.6725250589876829,0.1751111111111111,0.292962962962963,0.2164341085271318,0.5866666666666667,0.0,0.0,0.28888888888888886,0.0,0.8148148148148148,0.0,0.0,0.65,0.0,0.6821705426356589,0.0,0.0,0.4,0.0,0.7690796857463523,0.6481481481481483,0.6300465838509317,0.6749999999999999,0.6403508771929824
7,1.3745149163638843,1.3957233428955078,0.45,0.6683303022047873,0.09,0.2,0.12413793103448276,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6206896551724138,0.0,0.0,0.0,0.0,0.7407407407407408,0.6203703703703702,0.6442158385093167,0.6565,0.6798245614035088
8,1.3639166775871725,1.4649925231933594,0.425,0.5536803829585676,0.08869565217391304,0.18888888888888888,0.12071005917159763,0.4434782608695652,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.6035502958579881,0.0,0.0,0.0,0.0,0.6043771043771045,0.5493827160493827,0.6207298136645962,0.529,0.4649122807017544
9,1.3600953046013327,1.3436203002929688,0.4583333333333333,0.6869318350039937,0.19137931034482758,0.2105820105820106,0.1497058823529412,0.45689655172413796,0.0,0.5,0.0,0.0,0.9814814814814815,0.0,0.07142857142857142,0.0,0.0,0.6235294117647059,0.0,0.125,0.0,0.0,0.7811447811447811,0.691358024691358,0.6521739130434783,0.617,0.6929824561403509
10,1.3561130411484663,1.4908103942871094,0.375,0.6072012462351898,0.2884433773509404,0.29095238095238096,0.2423860114000959,0.9,0.0,0.32653061224489793,0.21568627450980393,0.0,0.3333333333333333,0.0,0.5714285714285714,0.55,0.0,0.4864864864864865,0.0,0.4155844155844156,0.30985915492957744,0.0,0.6795735129068462,0.5717592592592593,0.640916149068323,0.5575,0.5862573099415205
11,1.3585852454690373,1.4889202117919922,0.3333333333333333,0.6112220683460958,0.21519131924614507,0.2375661375661376,0.15826255241371895,0.8235294117647058,0.0,0.2524271844660194,0.0,0.0,0.25925925925925924,0.0,0.9285714285714286,0.0,0.0,0.39436619718309857,0.0,0.3969465648854962,0.0,0.0,0.7177328843995511,0.5316358024691359,0.6568322981366459,0.5695,0.5804093567251463
12,1.344365119934082,1.3308019638061523,0.48333333333333334,0.6970629943325596,0.24982456140350878,0.26005291005291004,0.2307917444618257,0.5157894736842106,0.0,0.4,0.3333333333333333,0.0,0.9074074074074074,0.0,0.14285714285714285,0.25,0.0,0.6577181208053692,0.0,0.21052631578947367,0.2857142857142857,0.0,0.7763748597081931,0.6489197530864198,0.6447981366459627,0.693,0.7222222222222222
13,1.358381383559283,1.4119033813476562,0.4166666666666667,0.6723560832618805,0.3577272727272727,0.30814814814814817,0.20837218267018418,0.625,0.16363636363636364,0.0,1.0,0.0,0.7407407407407407,0.75,0.0,0.05,0.0,0.6779661016949152,0.26865671641791045,0.0,0.09523809523809523,0.0,0.7774971941638608,0.6720679012345679,0.6288819875776398,0.7000000000000001,0.5833333333333334
14,1.3539683959063362,1.4107017517089844,0.425,0.6376629883888466,0.15942857142857142,0.2644444444444444,0.1943778801843318,0.5571428571428572,0.0,0.0,0.24,0.0,0.7222222222222222,0.0,0.0,0.6,0.0,0.6290322580645161,0.0,0.0,0.34285714285714286,0.0,0.7407407407407409,0.6435185185185185,0.6331521739130435,0.6095,0.5614035087719298
15,1.3519344890818876,1.3270587921142578,0.45,0.6748988544777256,0.22254901960784315,0.2538095238095238,0.20393809022261097,0.5294117647058824,0.0,0.3333333333333333,0.25,0.0,0.8333333333333334,0.0,0.03571428571428571,0.4,0.0,0.6474820143884892,0.0,0.06451612903225806,0.3076923076923077,0.0,0.7707631874298542,0.6666666666666667,0.6397515527950312,0.6555000000000001,0.6418128654970761
16,1.3450935588163488,1.3548393249511719,0.475,0.6692273692942647,0.1726941115164148,0.23518518518518522,0.1886067261496225,0.49504950495049505,0.0,0.3684210526315789,0.0,0.0,0.9259259259259259,0.0,0.25,0.0,0.0,0.6451612903225806,0.0,0.2978723404255319,0.0,0.0,0.7755331088664422,0.6666666666666666,0.6521739130434783,0.6465,0.6052631578947368
17,1.3470174004049862,1.3381595611572266,0.425,0.6848488990372286,0.08869565217391304,0.18888888888888888,0.12071005917159763,0.4434782608695652,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.6035502958579881,0.0,0.0,0.0,0.0,0.771324354657688,0.6512345679012346,0.6587732919254659,0.628,0.7149122807017544
18,1.328323195962345,1.297083854675293,0.525,0.6873041373379284,0.22038862292312028,0.30899470899470904,0.24590260698475158,0.7735849056603774,0.0,0.3283582089552239,0.0,0.0,0.7592592592592593,0.0,0.7857142857142857,0.0,0.0,0.7663551401869159,0.0,0.4631578947368421,0.0,0.0,0.7996632996632996,0.6766975308641976,0.6436335403726708,0.606,0.7105263157894737
